i,c,d,h,t,s,qtd_p,e
1,,,,,,,
2,,,,,,,
3,1000,2020-08-08,20:20,130.90,CANCELADO,6,Pará
4,1001,2020-09-01,09:02,90.68,COMPRA,6,Rio Grande do Sul
5,1002,2020-08-06,06:05,252.90,CANCELADO,3,Ceará
6,1003,2020-03-21,13:05,183.18,COMPRA,4,Rio de Janeiro
7,1004,2021-03-23,02:12,186.65,CANCELADO,6,Bahia
8,1005,2021-03-02,06:34,140.91,CANCELADO,5,Rio Grande do Sul
9,1006,2020-07-29,23:32,183.77,COMPRA,1,Pernambuco
10,1007,2021-02-12,01:16,31.45,COMPRA,4,Rio de Janeiro
11,1008,2020-04-17,22:06,18.60,CANCELADO,5,Paraíba
12,1009,2020-06-08,00:14,208.41,CANCELADO,4,Paraíba
13,1010,2020-05-16,00:13,135.44,DEVOLUÇÃO,7,Maranhão
14,1011,2020-03-29,09:44,266.22,COMPRA,4,Rio Grande do Sul
15,1012,2020-09-02,02:57,135.21,COMPRA,1,Bahia
16,1013,2020-06-11,21:40,53.38,CANCELADO,3,Maranhão
17,1014,2020-06-14,09:19,158.32,COMPRA,5,Paraná
18,1015,2020-08-07,05:33,260.31,DEVOLUÇÃO,5,Paraíba
19,1016,2020-12-23,05:33,62.92,DEVOLUÇÃO,5,Rio Grande do Sul
20,1017,2020-05-03,06:07,135.13,COMPRA,5,Maranhão
21,1018,2021-02-07,20:03,70.42,CANCELADO,2,Goiás
22,1019,2020-11-29,02:53,113.33,DEVOLUÇÃO,6,Ceará
23,1020,2020-06-20,03:22,184.94,DEVOLUÇÃO,2,Santa Catarina
24,1021,2021-03-10,09:07,75.24,CANCELADO,3,Bahia
25,1022,2020-09-25,03:43,152.18,DEVOLUÇÃO,2,Pernambuco
26,1023,2020-09-11,23:59,197.50,COMPRA,4,Maranhão
27,1024,2020-11-19,17:50,38.23,DEVOLUÇÃO,1,Paraná
28,1025,2020-04-20,18:36,266.02,COMPRA,4,Maranhão
29,1026,2020-04-14,23:30,22.20,COMPRA,3,São Paulo
30,1027,2020-07-15,12:24,124.49,DEVOLUÇÃO,2,Goiás
31,1028,2020-05-11,06:40,88.28,COMPRA,3,Paraná
32,1029,2020-08-17,06:40,66.80,CANCELADO,4,Rio de Janeiro
33,1030,2020-08-05,09:17,93.67,COMPRA,5,Santa Catarina
34,1031,2020-08-06,11:33,23.24,DEVOLUÇÃO,1,Pernambuco
35,1032,2020-11-10,22:18,203.47,COMPRA,2,Maranhão
36,1033,2020-05-29,12:41,45.56,CANCELADO,4,Goiás
37,1034,2020-07-23,12:11,142.55,COMPRA,4,Rio de Janeiro
38,1035,2021-03-29,02:34,209.04,CANCELADO,6,São Paulo
39,1036,2020-08-28,00:17,59.24,DEVOLUÇÃO,3,Pernambuco
40,1037,2020-10-07,05:19,263.09,DEVOLUÇÃO,7,Minas Gerais
41,1038,2020-07-18,01:27,188.50,DEVOLUÇÃO,5,São Paulo
42,1039,2020-11-07,00:13,94.63,DEVOLUÇÃO,2,Maranhão
43,1040,2021-02-05,20:19,81.55,CANCELADO,7,Pará
44,1041,2020-10-13,16:56,212.32,COMPRA,2,Rio Grande do Sul
45,1042,2020-03-21,07:43,207.71,CANCELADO,6,Paraíba
46,1043,2020-09-27,01:22,99.97,CANCELADO,6,Rio Grande do Sul
47,1044,2020-03-22,10:23,72.03,CANCELADO,2,Santa Catarina
48,1045,2021-02-22,21:24,97.02,CANCELADO,6,Pernambuco
49,1046,2020-03-03,03:41,262.33,COMPRA,5,São Paulo
